icd_11_id	name	icd_11_code
979408586	Extension Codes	X
870996432	Dimensions of injury	
1413523709	Topology Scale Value	
1597357976	Health Devices, Equipment and Supplies	
71556738	Aetiology	
1897222875	Diagnosis code descriptors	
1321407960	Substances	
1693181075	Capacity or context	
614922797	Temporality	
815889539	Severity Scale Value	
77159832	ICD-O	
1154280071	Anatomy and topography	
69327534	Consciousness	
1004338415	Dimensions of external causes	
411368752	Histopathology	
1948746454	Extension codes of particular relevance to skin diseases	
1846961966	Dimensions of Burns	
31690185	Joint involvement in fracture	
169306432	Distribution	
1092879018	Types of superficial injuries	
1698596380	Open fracture or closed fracture	
137775722	Relational	
576712805	Fracture types	
1435602785	Laterality	
706313621	Devices for administration, collecting and picking	
112199345	Measurement	XK0R
1518218888	Cardiocirculatory devices	
1879768026	Disinfectants, antiseptics and proteolytics for medical devices	
1529645872	Regional	
891823185	Dialysis devices	
1706641449	Gastrointestinal devices	
7186629	Hematology and hemotransfusion devices	
270962358	Devices for generic and specialistic medication	
1903770349	Sterilization devices	
1850237737	Devices for nervous and medullary systems	
467117494	Protection devices and incontinence aids	
2138080365	Endotherapy and electrosurgical devices	
627245602	Active-implantable devices	
878437732	Respiratory and anaesthesia devices	
1144829561	Implantable prosthetic devices and osteosynthesis devices	
1426346301	Reusable surgical instruments	
506409014	Dental, ophthalmologic and ear, nose and throat devices	
1806759593	Medical devices - various	
1103373305	In vitro diagnostic devices	
832794852	Medical devices, urogenital apparatus	
1838822834	Medical equipment and related accessories and materials	
82246768	Supports or technical aids for disabled persons	
253220720	Suture devices	
1698138964	Causality	
437215757	Infectious Agents	
987454771	Discharge diagnosis types	
22660186	Obstetrical diagnosis timing	
206915863	Diagnosis timing in relation to surgical procedure	
1069182691	Biological sex	
1991139272	Allergens	
1904105685	Diagnosis method of confirmation	
421060964	Encounter descriptors	
1170065830	Medicaments	XM6S30
1223079449	Condition of the fetus and newborn reported in the context of the mother	XX2QG9
1526228230	Diagnosis certainty	
1318021776	Diagnosis timing in relation to admission	
332114775	Substances, chiefly nonmedicinal	XM9N55
1770621312	Course of the Condition	
146631584	Generic Severity Scale Value	
920837303	Duration of pregnancy	
639052684	Time in Life	
36752588	Disease Specific Severity Scale Value	
687250607	Surface topography	
1644747126	Functional anatomy	
1509166126	Partonomic view	
212709569	Glasgow Coma Scale Motor score	
675177168	Glasgow Coma Scale Eye opening score	
487286823	Glasgow Coma Scale Verbal score	
847623771	Additional aspects of mechanism	
769489725	Pupil reaction score	
1112021953	Morphology	
1241761605	Aspects of place of injury occurrence	
1847862619	Alcohol use in injury event	
2007913667	Status of cause of death	
2030846363	Psychoactive drug use in injury event	
1433065969	Medical device component	
1286751171	Adnexal and skin appendage neoplasms	
368291343	Aspects of intentional self-harm events	
64892918	Aspects of armed conflict	
218746635	Giant cell tumours	
1414907749	Ductal and lobular neoplasms	
1025049113	Fibromatous neoplasms	
1923949781	Aspects of assault and maltreatment	
760752670	Status of intent of death	
1648962279	Findings of investigations related to devices	
1465681947	Activity when injured	
