diagnosis_id	synonym	language
1435254666	infection NOS	en
1435254666	infection by unspecified organism and of unspecified site	en
1435254666	infection process NOS	en
1435254666	infection unknown	en
1435254666	infectious disease NOS	en
274880002	sleep disorders	en
1639304259	Diseases of cutaneous vasculature	en
1639304259	Diseases of subcutaneous tissue	en
1639304259	Diseases of the dermis	en
1639304259	Diseases of the epidermal appendages (hair, hair follicle, sebaceous glands, apocrine sweat gland apparatus, eccrine sweat gland apparatus and nails)	en
1639304259	Diseases of the epidermis	en
334423054	Psychiatric disorder	en
334423054	mental disease NOS	en
334423054	mental disorder NOS	en
334423054	mental illness	en
1473673350	bone disease NOS	en
1473673350	bone disorder NOS	en
1473673350	bone lesion NOS	en
1473673350	musculoskeletal complications NOS	en
1766440644	Blood, lymph or spleen disease	en
1766440644	blood condition NOS	en
1766440644	blood disorder NOS	en
1766440644	bone marrow disease NOS	en
1766440644	bone marrow disorder NOS	en
1766440644	disease of heme organs	en
1766440644	haematologic disease NOS	en
1766440644	haematologic disorder NOS	en
426429380	CVS - [cardiovascular system] disease	en
426429380	cardiovascular disease NOS	en
426429380	cardiovascular system disease NOS	en
426429380	circulation defect NOS	en
426429380	circulatory disease NOS	en
426429380	circulatory disorder NOS	en
426429380	circulatory disturbance NOS	en
426429380	disease affecting entire cardiovascular system	en
426429380	disease of blood vessels NOS	en
426429380	disorder of blood vessels NOS	en
426429380	disorder of the circulatory system	en
426429380	vascular damage NOS	en
426429380	vascular defect NOS	en
426429380	vascular deficiency NOS	en
426429380	vascular disease NOS	en
426429380	vascular disorder NOS	en
426429380	vascular disturbance NOS	en
426429380	vasculopathy NOS	en
197934298	chest disease NOS	en
197934298	chronic respiratory disease NOS	en
197934298	disorder of respiratory system	en
197934298	respiratory complication NOS	en
197934298	respiratory disease NOS	en
197934298	respiratory disorder NOS	en
197934298	respiratory tract disease	en
223744320	birth defect NOS	en
223744320	congenital deformity NOS	en
223744320	congenital malformation NOS	en
223744320	congenital malformations, deformations and chromosomal abnormalities	en
223744320	developmental abnormality NOS	en
223744320	fetal abnormality NOS	en
223744320	fetal maldevelopment	en
1954798891	altered immune status	en
1954798891	decreased immunity NOS	en
1954798891	diminished immune response	en
1954798891	disorder of immune system	en
1954798891	immune compromised NOS	en
1954798891	immune deficiency syndrome NOS	en
1954798891	immune disease NOS	en
1954798891	immune mechanism disorder NOS	en
1954798891	immune response impaired NOS	en
1954798891	immunity disorder NOS	en
1954798891	immunodeficiency disease NOS	en
1954798891	immunological defect NOS	en
1954798891	immunological deficiency NOS	en
1256772020	digestive disorder NOS	en
1256772020	digestive disturbance	en
1256772020	digestive problem	en
1256772020	digestive system disorder	en
1256772020	gastrointestinal complication NOS	en
1256772020	gastrointestinal disease NOS	en
1256772020	gastrointestinal disorder NOS	en
1256772020	gastrointestinal tract disease	en
1585949804	acute CNS - [central nervous system] infection	en
1585949804	acute central nervous system infection NOS	en
1585949804	acute intracranial infection	en
1904876434	Infections with a predominantly sexual mode of transmission	en
1904876434	STD - [sexually transmitted disease]	en
1904876434	STI - [sexual transmitted infection]	en
1904876434	Sexually transmissible infections	en
1904876434	VD - [venereal disease]	en
1904876434	Venereal disease NOS	en
1904876434	disease with a predominantly sexual mode of transmission	en
1904876434	sexually transmitted infectious disease	en
1904876434	sexually transmitted infectious disorder	en
1904876434	statutory venereal disease	en
1904876434	venereal disorder	en
1412960686	bacterial infection of skin	en
1412960686	infected skin	en
1412960686	infection of subcutaneous tissue	en
1412960686	local infection of skin and subcutaneous tissue, unspecified	en
1412960686	pyogenic bacterial infection of skin	en
1412960686	pyogenic bacterial infection of skin and subcutaneous tissue	en
1412960686	skin infection NOS	en
868865918	disorder of vision	en
868865918	eye diseases NOS	en
868865918	visual disorder	en
1136802325	disease caused by virus	en
1136802325	disease due to virus	en
1136802325	unspecified viral infection of unspecified site	en
1136802325	unspecified viremia	en
1136802325	viraemia NOS	en
1136802325	viral disease	en
1136802325	viral disorder NOS	en
1136802325	viral illness	en
1136802325	viral infection NOS	en
1136802325	viral infectious disease	en
1136802325	viral syndrome	en
1136802325	viremia	en
1959883044	Aden fever	en
1959883044	Bangkok fever	en
1959883044	DF - [dengue fever]	en
1959883044	Dengue NOS	en
1959883044	Philippine fever	en
1959883044	Singapore fever	en
1959883044	Southeast Asia fever	en
1959883044	Thailand fever	en
1959883044	breakbone fever	en
1959883044	classical dengue	en
1959883044	classical dengue fever	en
1959883044	dandy fever	en
1959883044	seven-day dengue fever	en
1935092859	bacterial zoonosis	en
985510409	anicteric hepatitis	en
255141529	parasitic disease NOS	en
255141529	parasitic infection of unspecified site	en
1306203631	congenital debility NOS (deprecated)	en
1306203631	disorder of fetus or newborn	en
1306203631	fetus and neonate conditions	en
293771399	sepsis due to unspecified organism	en
5960175	SIRS -[systemic inflammatory response syndrome] of infectious origin	en
5960175	systemic inflammatory response syndrome as a result of disease classified elsewhere, infectious origin, without organ failure	en
843843448	CVD - [cerebrovascular disease]	en
843843448	Cerebrovascular disease with mention of hypertension	en
843843448	cerebral vascular disease	en
384289569	abnormal movement NOS	en
384289569	basal ganglia disease	en
384289569	basal ganglion lesion	en
384289569	disorder of basal ganglia	en
384289569	extrapyramidal and movement disorders	en
384289569	extrapyramidal degeneration	en
384289569	extrapyramidal disease	en
384289569	extrapyramidal disorder	en
384289569	extrapyramidal sclerosis	en
384289569	extrapyramidal syndrome	en
1939815950	alternaria infection	en
1939815950	fungal infection of unspecified site	en
1939815950	hemisporosis	en
1939815950	mycosis	en
1939815950	mycotic disease	en
1939815950	opportunistic mycoses	en
1939815950	tea taster's cough	en
1939815950	tea-factory cough	en
1939815950	tea-makers' asthma	en
921595235	Mosquito-borne viral fevers	en
921595235	Tick-borne viral fevers	en
921595235	arboviral disease	en
921595235	arboviral fever NOS	en
921595235	arbovirus infection	en
921595235	arbovirus infection NOS	en
921595235	arthropod-borne viral disease unspecified	en
921595235	arthropod-borne viral diseases	en
921595235	arthropod-borne viral infection	en
921595235	mosquito-borne fever	en
1000704511	HIV - [human immunodeficiency virus] syndrome NOS	en
1000704511	HIV syndrome NOS	en
1397288146	Cerebral seizures	en
1397288146	Seizure disorder	en
1397288146	cerebral epilepsy	en
1397288146	cerebral or cortical dysrhythmia	en
1397288146	congenital seizure disorder NOS	en
1397288146	epilepsia	en
1397288146	epilepsy NOS	en
1397288146	epileptic attack	en
1397288146	epileptic convulsions	en
1397288146	epileptic fit	en
1397288146	epileptic seizure	en
1397288146	epileptic syndrome NOS	en
1397288146	epileptiform attack	en
1397288146	idiopathic epileptic	en
1397288146	idiopathic seizure disorder	en
1397288146	morbus caducus	en
1397288146	seizure activity	en
1397288146	seizure disorder, so described	en
1397288146	seizure syndrome	en
724748131	Demyelinating disease CNS	en
724748131	Demyelinating diseases of the central nervous system	en
2143513892	opportunistic infectious disease	en
2143513892	opportunistic infestation	en
458687859	sequela of infection	en
458687859	sequela of infectious disease	en
458687859	sequelae of infection	en
458687859	sequelae of infectious disease	en
76906748	CP - [cerebral palsy]	en
76906748	Cerebral palsy NOS	en
76906748	ICP - [infantile cerebral palsy]	en
76906748	cerebral paralysis	en
76906748	congenital cerebral palsy	en
76906748	infantile cerebral palsy	en
1297080916	diseases of myoneural junction and muscle	en
1397803237	Disease of autonomic nervous system	en
1397803237	Disorder of parasympathetic nervous system	en
1397803237	Disorder of peripheral autonomic nervous system	en
1397803237	Disorder of vegetative system	en
1397803237	disease of sympathetic nerve	en
1397803237	disease of sympathetic nervous system	en
1397803237	disorder of sympathetic nerve	en
1397803237	disorder of sympathetic nervous system	en
1397803237	dysautonomia	en
1965146397	TSE - [transmissible spongiform encephalopathy]	en
1965146397	human spongiform encephalopathy	en
1965146397	prion disease of central nervous system	en
1965146397	transmissible spongiform encephalopathy	en
81068077	decreased level of consciousness, NOS	en
81068077	disturbance of consciousness	en
81068077	reduced consciousness, NOS	en
204947892	disorder of brain NOS	en
151219786	brain disease NOS	en
151219786	cerebral disease	en
151219786	lesion of brain	en
151219786	organic brain disease NOS	en
492643118	cranial meningeal cyst	en
492643118	cyst of meninges of brain	en
488744655	intracranial pneumatocele	en
488744655	pneumocephalus	en
1877962228	cerebral cyst NOS	en
1877962228	corpora quadrigemina cyst	en
1877962228	cyst of dura	en
1877962228	subdural cyst	en
1198549092	acquired cerebral deformity	en
1198549092	acquired cerebrum deformity	en
1396288233	brain damage NOS	en
1070133286	mesencephalic tegmental paralysis	en
1070133286	tegmental syndrome	en
372602207	brain indurated	en
372602207	hardening brain	en
1590018465	Dejerine-Roussy syndrome	en
