icd_11_id	name	code	type
455013390	ICD Category		diagnosis
1435254666	Certain infectious or parasitic diseases	01	diagnosis
1954798891	Diseases of the immune system	04	diagnosis
274880002	Sleep-wake disorders	07	diagnosis
588616678	Gastroenteritis or colitis of infectious origin		diagnosis
1630407678	Neoplasms	02	diagnosis
1766440644	Diseases of the blood or blood-forming organs	03	diagnosis
577470983	Conditions related to sexual health	17	diagnosis
1296093776	Diseases of the nervous system	08	diagnosis
334423054	Mental, behavioural or neurodevelopmental disorders	06	diagnosis
868865918	Diseases of the visual system	09	diagnosis
21500692	Endocrine, nutritional or metabolic diseases	05	diagnosis
718687701	Supplementary Chapter Traditional Medicine Conditions	26	supplementary_codes_for_traditional_medicine
1218729044	Diseases of the ear or mastoid process	10	diagnosis
231358748	Supplementary section for functioning assessment	V	supplementary_codes_for_functioning_assessment
1639304259	Diseases of the skin	14	diagnosis
1473673350	Diseases of the musculoskeletal system or connective tissue	15	diagnosis
1760597414	Certain other disorders of infectious origin	1G60	diagnosis
197934298	Diseases of the respiratory system	12	diagnosis
1843895818	Symptoms, signs or clinical findings, not elsewhere classified	21	symptoms
458687859	Sequelae of infectious diseases		diagnosis
1256772020	Diseases of the digestive system	13	diagnosis
1435254666/unspecified	Infection, unspecified	1H0Z	diagnosis
2143513892	Opportunistic infection		diagnosis
435227771	Injury, poisoning or certain other consequences of external causes	22	injuries_and_poisoning
1306203631	Certain conditions originating in the perinatal period	19	diagnosis
1249056269	Factors influencing health status or contact with health services	24	health_status_factors
223744320	Developmental anomalies	20	diagnosis
1000704511	Human immunodeficiency virus disease		diagnosis
850137482	External causes of morbidity or mortality	23	external_causes_of_morbidity
1596590595	Codes for special purposes	25	special_purpose_codes
1935092859	Certain zoonotic bacterial diseases		diagnosis
714000734	Pregnancy, childbirth or the puerperium	18	diagnosis
255141529	Parasitic diseases		diagnosis
30659757	Diseases of the genitourinary system	16	diagnosis
1860070272	Certain disorders involving the immune system		diagnosis
1008515027	Nonorgan specific systemic autoimmune disorders		diagnosis
1904876434	Predominantly sexually transmitted infections		diagnosis
426429380	Diseases of the circulatory system	11	diagnosis
2115467890	Autoinflammatory disorders		diagnosis
609223181	Acquired immunodeficiencies	4A20	diagnosis
1539889147	Certain staphylococcal or streptococcal diseases		diagnosis
979408586	Extension Codes	X	extension_codes
966435382	Immune system disorders involving white cell lineages		diagnosis
603645706	Diseases of thymus	4B40	diagnosis
978368870	Immunodeficiencies		diagnosis
587326822	Primary immunodeficiencies		diagnosis
1412960686	Pyogenic bacterial infections of the skin or subcutaneous tissues		diagnosis
183978472	Organ specific autoimmune disorders		diagnosis
1585949804	Non-viral or unspecified infections of the central nervous system		diagnosis
1104303944	Viral infections of the central nervous system		diagnosis
1251496839	Certain zoonotic viral diseases		diagnosis
49589409	Sleep-related movement disorders		diagnosis
1959883044	Dengue		diagnosis
979278646	Mycobacterial diseases		diagnosis
1954798891/other	Other specified diseases of the immune system	4B4Y	diagnosis
642618805	Allergic or hypersensitivity conditions		diagnosis
985510409	Viral hepatitis		diagnosis
487269828	Other bacterial diseases		diagnosis
1954798891/unspecified	Diseases of the immune system, unspecified	4B4Z	diagnosis
1939815950	Mycoses		diagnosis
2024456840	Hypersomnolence disorders		diagnosis
5960175	Systemic inflammatory response syndrome of infectious origin		diagnosis
1136802325	Certain other viral diseases		diagnosis
1038292737	Insomnia disorders		diagnosis
877557231	Sleep-related breathing disorders		diagnosis
151357345	Parasomnia disorders		diagnosis
1359329403	Circadian rhythm sleep-wake disorders		diagnosis
274880002/unspecified	Sleep-wake disorders, unspecified	7B2Z	diagnosis
2009008947	Malignant neoplasms, except primary neoplasms of lymphoid, haematopoietic, central nervous system or related tissues		diagnosis
30738976	Viral intestinal infections		diagnosis
1158485193	Neoplasms of uncertain behaviour, except of lymphoid, haematopoietic, central nervous system or related tissues		diagnosis
531713107	In situ neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues		diagnosis
274880002/other	Other specified sleep-wake disorders	7B2Y	diagnosis
1167133946	Benign neoplasms, except of lymphoid, haematopoietic, central nervous system or related tissues		diagnosis
2092703582	Protozoal intestinal infections		diagnosis
1688127370	Gastroenteritis or colitis without specification of infectious agent	1A40	diagnosis
944754984	Neoplasms of haematopoietic or lymphoid tissues		diagnosis
921595235	Certain arthropod-borne viral fevers		diagnosis
293771399	Sepsis		diagnosis
1834648119	Bacterial foodborne intoxications		diagnosis
145723401	Influenza		diagnosis
135352227	Bacterial intestinal infections		diagnosis
879154182	Neoplasms of central nervous system or related structures		diagnosis
1180562645	Congenital anomaly blood or lymph other		diagnosis
1766440644/unspecified	Diseases of the blood or blood-forming organs, unspecified	3C0Z	diagnosis
1646490591	Viral infections characterised by skin or mucous membrane lesions		diagnosis
2045601748	Bone marrow hyperplasia		diagnosis
567425990	Diseases of spleen		diagnosis
1099536224	Aetiological considerations in sexual dysfunctions and sexual pain disorders	HA40	diagnosis
160690465	Sexual dysfunctions		diagnosis
73410310	Sexual pain disorders		diagnosis
1762461746	Coagulation defects, purpura or other haemorrhagic or related conditions		diagnosis
224336967	Anaemias or other erythrocyte disorders		diagnosis
166243288	Blood dyscrasia		diagnosis
1513302415	Changes in female genital anatomy		diagnosis
411470068	Gender incongruence		diagnosis
554839264	Changes in male genital anatomy		diagnosis
264268169	Inherited cancer-predisposing syndromes		diagnosis
1844086508	Neoplasms of unknown behaviour, except of lymphoid, haematopoietic, central nervous system or related tissues		diagnosis
724748131	Multiple sclerosis or other white matter disorders		diagnosis
384289569	Movement disorders		diagnosis
577470983/other	Other specified conditions related to sexual health	HA8Y	diagnosis
1397288146	Epilepsy or seizures		diagnosis
28995849	Headache disorders		diagnosis
1719545571	Disorders with neurocognitive impairment as a major feature		diagnosis
1965146397	Human prion diseases		diagnosis
1397803237	Disorders of autonomic nervous system		diagnosis
1861279867	Motor neuron diseases or related disorders		diagnosis
1766440644/other	Other specified diseases of the blood or blood-forming organs	3C0Y	diagnosis
1125774661	Neoplasms of the nervous system		diagnosis
577470983/unspecified	Conditions related to sexual health, unspecified	HA8Z	diagnosis
23958598	Disorders of cerebrospinal fluid pressure or flow		diagnosis
1297080916	Diseases of neuromuscular junction or muscle		diagnosis
843843448	Cerebrovascular diseases		diagnosis
1119245712	Nutritional or toxic disorders of the nervous system		diagnosis
2021326314	Spinal cord disorders excluding trauma		diagnosis
76906748	Cerebral palsy		diagnosis
81068077	Disorders of consciousness		diagnosis
988657115	Certain disorders of the nervous system		diagnosis
151219786	Disease of brain, not elsewhere classified		diagnosis
1743839677	Injuries of the nervous system		diagnosis
1672131524	Brain cicatrix		diagnosis
204947892	Disorder of brain, not elsewhere classified		diagnosis
1503481707	White matter of brain syndrome		diagnosis
1015880305	Astrocytic cell proliferation		diagnosis
1510094736	Postprocedural disorders of the nervous system		diagnosis
1198549092	Acquired brain deformity, not elsewhere classified		diagnosis
1730644960	Disorders of nerve root, plexus or peripheral nerves		diagnosis
492643118	Cerebral meningeal cyst		diagnosis
2057856845	Gliosis		diagnosis
803705092	Ependymopathy		diagnosis
689481271	Encephalomalacia		diagnosis
1877962228	Brain cyst, not elsewhere classified		diagnosis
965769057	Brain hypertrophy		diagnosis
388265288	Circumscribed brain atrophy		diagnosis
488744655	Airocoele		diagnosis
372602207	Brain induration		diagnosis
1590018465	Thalamic syndrome		diagnosis
2088637078	Brain congestion		diagnosis
1396288233	Brain damage, not elsewhere classified		diagnosis
1977439649	Brain stenosis		diagnosis
2069502399	Medullary depression		diagnosis
166622106	Cystic degeneration of brain		diagnosis
1070133286	Tegmentum syndrome		diagnosis
269890856	Cerebral dysfunction		diagnosis
624473012	Spongy glioneuronal dystrophy		diagnosis
1531351827	Respiratory centre depression		diagnosis
2013305157	Cerebellar cortical degeneration		diagnosis
1373795985	Choroid plexus calcification		diagnosis
217259658	Poliodystrophy, not elsewhere classified		diagnosis
405565289	Schizophrenia or other primary psychotic disorders		diagnosis
2059308686	Brain cirrhosis		diagnosis
996380633	Brain atrophy		diagnosis
575949163	Nervous system degeneration, not elsewhere classified		diagnosis
1406449467	Fatty spinal cord degeneration		diagnosis
76398729	Mood disorders		diagnosis
1296093776/unspecified	Diseases of the nervous system, unspecified	8E7Z	diagnosis
1761931088	Cerebellum hemiatrophy		diagnosis
1516623224	Neurodevelopmental disorders		diagnosis
991786158	Disorders specifically associated with stress		diagnosis
2110604642	Paraphilic disorders		diagnosis
1321276661	Obsessive-compulsive or related disorders		diagnosis
794195577	Disorders of bodily distress or bodily experience		diagnosis
201567715	Neoplasms of the eye or ocular adnexa		diagnosis
1602669465	Disorders due to substance use or addictive behaviours		diagnosis
1597086636	Brain degeneration		diagnosis
169153150	Disorders of vision or visual functioning		diagnosis
108180424	Dissociative disorders		diagnosis
1884115764	Elimination disorders		diagnosis
486722075	Catatonia		diagnosis
334423054/unspecified	Mental, behavioural or neurodevelopmental disorders, unspecified	6E8Z	diagnosis
509746676	Disorders of the visual organs		diagnosis
1412387537	Feeding or eating disorders		diagnosis
826065555	Impulse control disorders		diagnosis
213458094	Neurocognitive disorders		diagnosis
334423054/other	Other specified mental, behavioural or neurodevelopmental disorders	6E8Y	diagnosis
1296093776/other	Other specified diseases of the nervous system	8E7Y	diagnosis
1336943699	Anxiety or fear-related disorders		diagnosis
566574133	Postprocedural disorders of eye or ocular adnexa		diagnosis
1266833063	Disorders of refraction or accommodation		diagnosis
523677473	Psychological or behavioural factors affecting disorders or diseases classified elsewhere	6E40	diagnosis
430567349	Factitious disorders		diagnosis
65880823	Disorders of the eyeball - anterior segment		diagnosis
