icd_11_id	synonym
1435254666	infection NOS
1435254666	infection by unspecified organism and of unspecified site
1435254666	infection process NOS
1435254666	infection unknown
1435254666	infectious disease NOS
1954798891	altered immune status
1954798891	decreased immunity NOS
1954798891	diminished immune response
1954798891	disorder of immune system
1954798891	immune compromised NOS
1954798891	immune deficiency syndrome NOS
1954798891	immune disease NOS
1954798891	immune mechanism disorder NOS
1954798891	immune response impaired NOS
1954798891	immunity disorder NOS
1954798891	immunodeficiency disease NOS
1954798891	immunological defect NOS
1954798891	immunological deficiency NOS
274880002	sleep disorders
1766440644	Blood, lymph or spleen disease
1766440644	blood condition NOS
1766440644	blood disorder NOS
1766440644	bone marrow disease NOS
1766440644	bone marrow disorder NOS
1766440644	disease of heme organs
1766440644	haematologic disease NOS
1766440644	haematologic disorder NOS
334423054	Psychiatric disorder
334423054	mental disease NOS
334423054	mental disorder NOS
334423054	mental illness
868865918	disorder of vision
868865918	eye diseases NOS
868865918	visual disorder
1639304259	Diseases of cutaneous vasculature
1639304259	Diseases of subcutaneous tissue
1639304259	Diseases of the dermis
1639304259	Diseases of the epidermal appendages (hair, hair follicle, sebaceous glands, apocrine sweat gland apparatus, eccrine sweat gland apparatus and nails)
1639304259	Diseases of the epidermis
1473673350	bone disease NOS
1473673350	bone disorder NOS
1473673350	bone lesion NOS
1473673350	musculoskeletal complications NOS
197934298	chest disease NOS
197934298	chronic respiratory disease NOS
197934298	disorder of respiratory system
197934298	respiratory complication NOS
197934298	respiratory disease NOS
197934298	respiratory disorder NOS
197934298	respiratory tract disease
458687859	sequela of infection
458687859	sequela of infectious disease
458687859	sequelae of infection
458687859	sequelae of infectious disease
1256772020	digestive disorder NOS
1256772020	digestive disturbance
1256772020	digestive problem
1256772020	digestive system disorder
1256772020	gastrointestinal complication NOS
1256772020	gastrointestinal disease NOS
1256772020	gastrointestinal disorder NOS
1256772020	gastrointestinal tract disease
2143513892	opportunistic infectious disease
2143513892	opportunistic infestation
435227771	blunt force injury NOS
1306203631	congenital debility NOS (deprecated)
1306203631	disorder of fetus or newborn
1306203631	fetus and neonate conditions
223744320	birth defect NOS
223744320	congenital deformity NOS
223744320	congenital malformation NOS
223744320	congenital malformations, deformations and chromosomal abnormalities
223744320	developmental abnormality NOS
223744320	fetal abnormality NOS
223744320	fetal maldevelopment
1000704511	HIV - [human immunodeficiency virus] syndrome NOS
1000704511	HIV syndrome NOS
1935092859	bacterial zoonosis
255141529	parasitic disease NOS
255141529	parasitic infection of unspecified site
1008515027	NOSSAD - [non-organ specific systemic autoimmune disorders]
1008515027	autoimmune deficiency NOS
1008515027	autoimmune deficiency syndrome NOS
1008515027	autoimmune disease NOS
1008515027	autoimmune disorder NOS
1008515027	collagen disease NOS
1008515027	collagen disorder NOS
1008515027	collagen vascular disease NOS
1008515027	systemic autoimmune disease
1008515027	systemic collagen vascular disease
1008515027	systemic vascular disease
1904876434	Infections with a predominantly sexual mode of transmission
1904876434	STD - [sexually transmitted disease]
1904876434	STI - [sexual transmitted infection]
1904876434	Sexually transmissible infections
1904876434	VD - [venereal disease]
1904876434	Venereal disease NOS
1904876434	disease with a predominantly sexual mode of transmission
1904876434	sexually transmitted infectious disease
1904876434	sexually transmitted infectious disorder
1904876434	statutory venereal disease
1904876434	venereal disorder
426429380	CVS - [cardiovascular system] disease
426429380	cardiovascular disease NOS
426429380	cardiovascular system disease NOS
426429380	circulation defect NOS
426429380	circulatory disease NOS
426429380	circulatory disorder NOS
426429380	circulatory disturbance NOS
426429380	disease affecting entire cardiovascular system
426429380	disease of blood vessels NOS
426429380	disorder of blood vessels NOS
426429380	disorder of the circulatory system
426429380	vascular damage NOS
426429380	vascular defect NOS
426429380	vascular deficiency NOS
426429380	vascular disease NOS
426429380	vascular disorder NOS
426429380	vascular disturbance NOS
426429380	vasculopathy NOS
1412960686	bacterial infection of skin
1412960686	infected skin
1412960686	infection of subcutaneous tissue
1412960686	local infection of skin and subcutaneous tissue, unspecified
1412960686	pyogenic bacterial infection of skin
1412960686	pyogenic bacterial infection of skin and subcutaneous tissue
1412960686	skin infection NOS
1585949804	acute CNS - [central nervous system] infection
1585949804	acute central nervous system infection NOS
1585949804	acute intracranial infection
1959883044	Aden fever
1959883044	Bangkok fever
1959883044	DF - [dengue fever]
1959883044	Dengue NOS
1959883044	Philippine fever
1959883044	Singapore fever
1959883044	Southeast Asia fever
1959883044	Thailand fever
1959883044	breakbone fever
1959883044	classical dengue
1959883044	classical dengue fever
1959883044	dandy fever
1959883044	seven-day dengue fever
642618805	allergic or hypersensitive condition NOS
985510409	anicteric hepatitis
1939815950	alternaria infection
1939815950	fungal infection of unspecified site
1939815950	hemisporosis
1939815950	mycosis
1939815950	mycotic disease
1939815950	opportunistic mycoses
1939815950	tea taster's cough
1939815950	tea-factory cough
1939815950	tea-makers' asthma
5960175	SIRS -[systemic inflammatory response syndrome] of infectious origin
5960175	systemic inflammatory response syndrome as a result of disease classified elsewhere, infectious origin, without organ failure
1136802325	disease caused by virus
1136802325	disease due to virus
1136802325	unspecified viral infection of unspecified site
1136802325	unspecified viremia
1136802325	viraemia NOS
1136802325	viral disease
1136802325	viral disorder NOS
1136802325	viral illness
1136802325	viral infection NOS
1136802325	viral infectious disease
1136802325	viral syndrome
1136802325	viremia
1038292737	sleeplessness
877557231	sleep disordered breathing
877557231	sleep hypopnoea
151357345	Parasomnia
1359329403	Disorders of the sleep-wake schedule
1359329403	disorder of sleep-wake cycle
